Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%
Michael Jordan,"1,072",38.3,30.1,11.4,22.9,49.7,0.5,1.7,32.7,6.8,8.2,83.5,1.6,4.7,6.2,5.3,2.3,0.8,2.7,50.9
Wilt Chamberlain,"1,045",45.8,30.1,12.1,22.5,54,-,-,-,5.8,11.4,51.1,-,-,22.9,4.4,-,-,-,54
Kevin Durant,641,37.8,27.4,9.2,19.1,48.3,1.8,4.7,38,7.2,8.1,88.2,0.8,6.2,7,3.7,1.2,1,3.2,53
Elgin Baylor,846,40,27.4,10.3,23.8,43.1,-,-,-,6.8,8.7,78,-,-,13.5,4.3,-,-,-,43.1
LeBron James,987,39,27.2,9.8,19.7,49.8,1.4,4,34,6.2,8.3,74.4,1.2,6,7.2,6.9,1.7,0.8,3.4,53.2
Jerry West,932,39.2,27,9.7,20.4,47.4,-,-,-,7.7,9.4,81.4,1,2.8,5.8,6.7,2.6,0.7,-,47.4
Allen Iverson,914,41.1,26.7,9.3,21.8,42.5,1.2,3.7,31.3,7,8.9,78,0.8,2.9,3.7,6.2,2.2,0.2,3.6,45.2
Bob Pettit,792,38.8,26.4,9.3,21.3,43.6,-,-,-,7.8,10.3,76.1,-,-,16.2,3,-,-,-,43.6
George Gervin,791,33.5,26.2,10.2,19.9,51.1,0.1,0.3,29.7,5.7,6.8,84.4,1.5,3.1,4.6,2.8,1.2,0.8,3,51.3
Oscar Robertson,"1,040",42.2,25.7,9.1,18.9,48.5,-,-,-,7.4,8.8,83.8,1,3,7.5,9.5,1.1,0.1,-,48.5
Karl Malone,"1,476",37.2,25,9.2,17.8,51.6,0.1,0.2,27.4,6.6,8.9,74.2,2.4,7.7,10.1,3.6,1.4,0.8,3.1,51.8
Kobe Bryant,"1,346",36.1,25,8.7,19.5,44.7,1.4,4.1,32.9,6.2,7.4,83.7,1.1,4.1,5.2,4.7,1.4,0.5,3,48.2
Carmelo Anthony,902,36.4,24.9,8.9,19.6,45.3,1.1,3.3,34.4,6,7.4,81.2,1.9,4.8,6.6,3.2,1.1,0.5,2.9,48.2
Dominique Wilkins,"1,074",35.5,24.8,9.3,20.1,46.1,0.7,2.1,31.9,5.6,6.9,81.1,2.7,3.9,6.7,2.5,1.3,0.6,2.5,47.8
Kareem Abdul-Jabbar,"1,560",36.8,24.6,10.2,18.1,55.9,0,0,5.6,4.3,6,72.1,2.4,7.6,11.2,3.6,0.9,2.6,2.7,55.9
Larry Bird,897,38.4,24.3,9.6,19.3,49.6,0.7,1.9,37.6,4.4,5,88.6,2,8,10,6.3,1.7,0.8,3.1,51.4
Adrian Dantley,955,35.8,24.3,8.6,15.8,54,0,0,17.1,7.2,8.7,81.8,2.3,3.4,5.7,3,1,0.2,2.9,54
Pete Maravich,658,37,24.2,9.4,21.3,44.1,0,0,66.7,5.4,6.6,82,1,3.3,4.2,5.4,1.4,0.3,3.7,44.1
Shaquille O'Neal,"1,207",34.7,23.7,9.4,16.1,58.2,0,0,4.5,4.9,9.3,52.7,3.5,7.4,10.9,2.5,0.6,2.3,2.7,58.2
Dwyane Wade,855,35.7,23.7,8.6,17.6,48.8,0.5,1.6,28.4,6.1,7.9,76.7,1.3,3.6,4.8,5.8,1.7,0.9,3.4,50.1
Rick Barry,794,36.3,23.2,9.1,20.4,44.9,0.1,0.3,33,4.8,5.3,90,0.9,4.3,6.5,5.1,2,0.5,2.5,45.1
George Mikan,439,34.4,23.1,8.1,20,40.4,-,-,-,7,8.9,78.2,-,-,13.4,2.8,-,-,-,40.4
Paul Arizin,713,38.4,22.8,7.9,18.7,42.1,-,-,-,7,8.7,81,-,-,8.6,2.3,-,-,-,42.1
Bernard King,874,33.7,22.5,9,17.3,51.8,0,0.2,17.2,4.5,6.2,73,1.9,3.8,5.8,3.3,1,0.3,3.2,51.9
Stephen Curry,495,34.9,22.4,7.9,16.6,47.7,3.2,7.3,44.4,3.4,3.7,90.2,0.7,3.6,4.3,6.9,1.8,0.2,3.2,57.4
Charles Barkley,"1,073",36.7,22.1,7.9,14.5,54.1,0.5,1.9,26.6,5.9,8.1,73.5,4,7.7,11.7,3.9,1.5,0.8,3.1,55.8
David Thompson,509,32,22.1,8.3,16.4,50.4,0,0.2,27.7,5.5,7.1,77.8,1.4,2.3,3.8,3.2,0.9,0.8,2.6,50.5
Bob McAdoo,852,33.2,22.1,8.7,17.3,50.3,0,0,8.1,4.6,6.1,75.4,2.4,7.1,9.4,2.3,1,1.5,2.6,50.3
Dirk Nowitzki,"1,340",35.3,22,7.8,16.4,47.4,1.3,3.3,38.1,5.2,5.9,87.9,1.1,6.8,7.9,2.5,0.8,0.9,1.8,51.3
Julius Erving,836,34.3,22,8.7,17.1,50.7,0.1,0.2,26.1,4.6,5.9,77.7,2.5,4.2,6.7,3.9,1.8,1.5,3.1,50.9
Geoff Petrie,446,37.6,21.8,8.9,19.5,45.5,-,-,-,4,5,80.5,0.6,2,2.8,4.6,1.1,0.1,-,45.5
Hakeem Olajuwon,"1,238",35.7,21.8,8.7,17,51.2,0,0.1,20.2,4.4,6.2,71.2,3.3,7.8,11.1,2.5,1.7,3.1,3,51.3
Alex English,"1,193",31.9,21.5,8.9,17.6,50.7,0,0.1,21.7,3.6,4.3,83.2,2.3,3.2,5.5,3.6,0.9,0.7,2.5,50.7
Blake Griffin,410,35.3,21.5,8.4,16,52.1,0.1,0.4,27.1,4.6,7,66.1,2.5,7,9.6,4,1,0.6,2.5,52.4
Russell Westbrook,587,34,21.5,7.5,17.3,43.5,0.9,2.9,30.2,5.6,6.8,81.8,1.7,3.9,5.6,7.6,1.7,0.3,3.7,46
James Harden,534,33.2,21.1,6.2,14.1,44.3,2.1,5.7,36.8,6.5,7.6,85.5,0.7,3.8,4.6,4.9,1.5,0.4,3,51.7
David Robinson,987,34.7,21.1,7.5,14.4,51.8,0,0.1,25,6.1,8.3,73.6,3.1,7.5,10.6,2.5,1.4,3,2.4,51.9
